,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
CLNS1A,CLNS1A,CLNS1A,CLNS1A,0.0916,-0.11349046230316162,,,,,,,,,,,,,,,,False,0.0,0
MAPK12,MAPK12,MAPK12,MAPK12,0.0378,0.5284750759601593,0.26137488961102967,0.49226060557799467,0.5369932306389785,9.004656008508586,0.5196343731880189,0.11652786284685135,0.105957992374897,0.16324114845709034,0.0,0.0,0.46312593596719775,0.5423163099401207,0.394072581363585,1.6470579241214747,1.7592175979209985,True,0.5892794454337962,23
WASL,WASL,WASL,WASL,0.0703,-0.22361493110656738,,,,,,,,,,,,,,,,False,0.10084912467575735,0
NDUFA5,NDUFA5,NDUFA5,NDUFA5,0.1147,-0.02690112590789795,,,,,,,,,,,,,,,,False,0.03405453244954603,0
IQUB,IQUB,IQUB,IQUB,0.0235,-0.6251785755157471,,,,,,,,,,,,,,,,False,0.20523953492300448,0
ATP6AP1,ATP6AP1,ATP6AP1,ATP6AP1,0.0917,0.020826637744903564,0.05281942609036863,0.32718413812411296,0.22148128091850697,9.757794836301295,1.455432193742858,0.05613285303115845,0.051145218312740326,0.24237602658291557,0.0,0.0,0.09862191473311532,0.1582005184908153,0.1465063259198234,0.8552791402523008,2.6242350235956033,True,0.4840086004255137,0
CADPS2,CADPS2,CADPS2,CADPS2,0.0133,-0.5670435428619385,,,,,,,,,,,,,,,,False,0.4558726206427232,0
FEZF1,FEZF1,FEZF1,FEZF1,0.0141,0.8336586654186249,0.01663716648760619,0.009998652623188121,0.07497707795599699,28.097077180114916,14.011152935028075,0.7162038087844849,0.05282058194279671,8.967765590465032e-07,0.0,0.0,0.19834736911154505,1.3714215144642425,0.1134934492393172,0.5415810884086993,7.744874494740658,False,0.3749524244863449,0
FAM3C,FAM3C,FAM3C,FAM3C,0.0821,0.13146930932998657,0.16724051221848632,0.9118972184585293,0.22771495255341984,10.167579978420074,0.4070161424577236,0.05122578516602516,0.15417468547821045,0.1883331121710908,0.0,0.0,0.44903089577606675,0.17960137169642737,0.5023810837963788,1.2498174098091017,2.828992357283576,True,0.30534175072521713,0
ING3,ING3,ING3,ING3,0.0105,-0.5916723012924194,,,,,,,,,,,,,,,,False,0.10224186011610556,0
TSPAN12,TSPAN12,TSPAN12,TSPAN12,0.0029,-0.3447157144546509,,,,,,,,,,,,,,,,False,0.12668941244142035,0
KCND2,KCND2,KCND2,KCND2,-0.01,-0.7334434986114502,,,,,,,,,,,,,,,,False,0.3455734752181818,0
ANKRD26,ANKRD26,ANKRD26,ANKRD26,-0.0198,-0.33349931240081787,,,,,,,,,,,,,,,,False,0.2171535143588079,0
LSM8,LSM8,LSM8,LSM8,0.0827,0.007834672927856445,,,,,,,,,,,,,,,,False,0.20439314764991526,0
