,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
NET1,NET1,NET1,NET1,0.2324,0.07973527908325195,0.7916827051837291,9.30056907025711,0.46416248428811835,6.767945909492125,0.07130131144076585,0.02105759270489216,0.4651486277580261,0.2105455179299621,0.0,0.0,0.45874707595575004,0.07186365309505134,0.9812783341100119,0.49914511016902474,1.9339726744105974,True,0.42812717460350064,0
EXOC4,EXOC4,EXOC4,EXOC4,-0.0052,-0.542043924331665,,,,,,,,,,,,,,,,False,0.342876598891919,0
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1,-0.1628,0.7175758481025696,0.5071689900641321,0.021967140469697662,0.3021403200814248,9.501045034531092,8.200919508934021,6.150393009185791,0.35435792803764343,0.2931049038082195,0.0,0.0,0.47237239816928933,19.726899358442523,0.8765725288700698,0.6397313954038414,2.6228033900167333,True,0.9067058713488644,0
ALG12,ALG12,ALG12,ALG12,0.0864,-0.1682436466217041,,,,,,,,,,,,,,,,False,0.2621181117108543,0
CRELD2,CRELD2,CRELD2,CRELD2,0.08,0.03651249408721924,0.08502824431563061,0.6763396669885259,0.1844764790746743,8.637612295338974,0.7375361926853659,0.04656049981713295,0.0994294062256813,0.22359322162058495,0.0,0.0,0.26184383580960324,0.14039719581660629,0.26552996599789835,1.008282496024331,2.841678040279934,True,0.3524153603264985,0
CLNS1A,CLNS1A,CLNS1A,CLNS1A,0.1198,-0.019034743309020996,,,,,,,,,,,,,,,,False,0.1378290779826046,0
MAPK12,MAPK12,MAPK12,MAPK12,0.0504,0.7606402784585953,0.6511740549041385,0.5068305393347723,0.7540824591407973,7.623117046181954,0.692025737464428,0.26502135396003723,0.18095077574253082,0.26480070687919494,0.0,0.0,0.48046229215494374,0.8935587624471546,0.5701015165139889,0.6935764145883223,1.2830024666245985,True,0.7014965224086377,17
WASL,WASL,WASL,WASL,0.0828,0.08472615480422974,0.49083493413156076,1.540963812545555,0.2827315407176508,7.971084066992131,0.17633549295365814,0.10108589380979538,0.2708648443222046,0.20895338501643382,0.0,0.0,0.2768272906785759,0.30053264595636003,1.024694147166507,1.2943229953667361,1.656076282661017,True,0.32573532815335443,18
NDUFA5,NDUFA5,NDUFA5,NDUFA5,0.1695,-0.057640910148620605,,,,,,,,,,,,,,,,False,0.1213763747805651,0
IQUB,IQUB,IQUB,IQUB,0.0012,-0.7275141477584839,,,,,,,,,,,,,,,,False,0.2415109125136121,0
